Date,Session,Level,originalFile,Condition,Trial,Left,Right
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,1,12.4,14.6
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,20,10.8,12
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,25,8.9,11
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,29,9.1,11.5
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,48,9.2,11.9
2016-10-13,AM,L15_700_Robin,13_10_2016 level15_700_Robin 8_40 Bilateral_T25,Bilateral,53,10,11.4
2016-10-13,PM,L15_700_Robin,13_10_2016 level15_700_Robin 15_5 Bilateral_T10,Bilateral,3,12.6,14
2016-10-13,PM,L15_700_Robin,13_10_2016 level15_700_Robin 15_5 Bilateral_T10,Bilateral,10,11,11.9
2016-10-13,PM,L15_700_Robin,13_10_2016 level15_700_Robin 15_5 Bilateral_T10,Bilateral,14,12.2,12
2016-10-13,PM,L15_700_Robin,13_10_2016 level15_700_Robin 15_5 Bilateral_T10,Bilateral,18,10.9,11
2016-10-13,PM,L15_700_Robin,13_10_2016 level15_700_Robin 15_5 Bilateral_T10,Bilateral,20,11,11
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,1,11,11
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,10,7.8,7.8
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,28,7.5,7.2
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,41,7.2,6.5
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,61,7.2,6.5
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,71,7.7,7.2
2016-10-18,AM,L15_700_Robin,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,Bilateral,80,8.4,8.3
2016-10-18,PM,L15_700_Robin,18_10_2016 level15_700_Robin 14_33 Bilateral_T0,Bilateral,1,8.5,10.3
2016-10-18,PM,L15_700_Robin,18_10_2016 level15_700_Robin 14_33 Bilateral_T0,Bilateral,12,7.5,7.4
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,1,24,22
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,15,14,11
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,22,13.6,10.5
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,30,13.5,10
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,34,12.9,9.2
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,45,13.2,9.2
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,53,13.5,9.5
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,54,12.9,9.4
2016-10-19,AM,L15_700_Robin,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,Bilateral,58,25,26
2016-10-19,PM,L15_700_Robin,19_10_2016 level15_700_Robin 14_57 Bilateral6-14_Control14-end,Bilateral,1,15.7,12.1
2016-10-19,PM,L15_700_Robin,19_10_2016 level15_700_Robin 14_57 Bilateral6-14_Control14-end,Bilateral,6,10.9,6.6
2016-10-19,PM,L15_700_Robin,19_10_2016 level15_700_Robin 14_57 Bilateral6-14_Control14-end,Bilateral,10,10.1,6.2
2016-10-19,PM,L15_700_Robin,19_10_2016 level15_700_Robin 14_57 Bilateral6-14_Control14-end,Bilateral,14,37,37
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,1,18.6,21.6
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,5,10.7,13
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,8,9.5,11
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,28,9,7.5
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,50,8.2,7.2
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,70,7.2,7.9
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,88,7.1,7.9
2016-10-21,AM,L15_700_Robin,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,Bilateral,90,7.1,8
2016-10-12,AM,L15_700_Robin,12_10_2016 level15_700_Robin 10_3 Left,Left,3,11,37
2016-10-12,AM,L15_700_Robin,12_10_2016 level15_700_Robin 10_3 Left,Left,18,9.5,37
2016-10-12,AM,L15_700_Robin,12_10_2016 level15_700_Robin 10_3 Left,Left,34,8.9,37
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,1,14.9,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,7,11,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,12,9.3,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,21,9,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,35,8.4,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,43,8,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,71,7.9,36
2016-10-23,PM,L15_700_Robin,23_10_2016 level15_700_Robin 15_57 Left_T7,Left,94,8.3,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,1,15,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,6,11,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,16,10.2,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,23,9.5,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,31,8.9,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,58,8.4,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,103,8.1,36
2016-10-24,AM,L15_700_Robin,Unknown,Left,124,8.7,36
2016-10-24,PM,L15_700_Robin,24_10_2016 level15_700_Robin 15_53 Left_T16-20,Left,1,20,36
2016-10-24,PM,L15_700_Robin,24_10_2016 level15_700_Robin 15_53 Left_T16-20,Left,16,11,36
2016-10-24,PM,L15_700_Robin,24_10_2016 level15_700_Robin 15_53 Left_T16-20,Left,20,37,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,1,21,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,7,12.3,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,9,11,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,22,8.5,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,25,8.1,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,35,10.4,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,41,9.6,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,46,9.4,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,50,9.2,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,99,9.1,36
2016-10-25,AM,L15_700_Robin,25_10_2016 level15_700_Robin 8_27 Left_T9,Left,106,10,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,6,17.6,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,13,12.6,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,23,11,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,34,10.1,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,40,9.5,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,51,9.4,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,60,10.2,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,71,10,36
2016-10-26,AM,L15_700_Robin,26_10_2016 level15_700_Robin 10_22 Left_T23,Left,106,10.3,36
2016-10-03,PM,L15_700_Robin,3_10_2016 level15_700_Robin 13_48 RCool_30,Right,31,37,11
2016-10-04,AM,L15_700_Robin,4_10_2016 level15_700_Robin 9_25 RCool_10,Right,11,37,9.4
2016-10-04,PM,L15_700_Robin,4_10_2016 level15_700_Robin 15_3 RCool30,Right,14,37,13
2016-10-04,PM,L15_700_Robin,4_10_2016 level15_700_Robin 15_3 RCool30,Right,23,37,11.8
2016-10-04,PM,L15_700_Robin,4_10_2016 level15_700_Robin 15_3 RCool30,Right,30,37,11
2016-10-04,PM,L15_700_Robin,4_10_2016 level15_700_Robin 15_3 RCool30,Right,47,37,10.5
2016-10-04,PM,L15_700_Robin,4_10_2016 level15_700_Robin 15_3 RCool30,Right,58,37,10.2
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,1,37,11
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,10,37,9
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,21,37,8
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,32,37,7.5
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,52,37,7.8
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,70,37,7.4
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,90,37,7.4
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,119,37,6.9
2016-10-05,AM,L15_700_Robin,5_10_2016 level15_700_Robin 10_17 RCool_0,Right,127,37,7.3
2016-10-06,PM,L15_700_Robin,6_10_2016 level15_700_Robin 14_52 RCool04,Right,2,37,11.7
2016-10-06,PM,L15_700_Robin,6_10_2016 level15_700_Robin 14_52 RCool04,Right,4,37,10.9
2016-10-06,PM,L15_700_Robin,6_10_2016 level15_700_Robin 14_52 RCool04,Right,8,37,10.7
2016-10-06,PM,L15_700_Robin,6_10_2016 level15_700_Robin 14_52 RCool04,Right,29,37,8.8
2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,4,37,10
2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,34,37,8.5
2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,73,37,8.2
2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,119,37,8.5
2016-10-11,AM,L15_700_Robin,11_10_2016 level15_700_Robin 8_32 RCool01,Right,1,37,8
2016-10-11,AM,L15_700_Robin,11_10_2016 level15_700_Robin 8_32 RCool01,Right,11,37,8.3
2016-10-11,AM,L15_700_Robin,11_10_2016 level15_700_Robin 8_32 RCool01,Right,43,37,7.7
2016-10-11,AM,L15_700_Robin,11_10_2016 level15_700_Robin 8_32 RCool01,Right,72,37,7.4
2016-10-11,AM,L15_700_Robin,11_10_2016 level15_700_Robin 8_32 RCool01,Right,102,37,7.3
2016-10-07,AM,L15_700_Robin,7_10_2016 level15_700_Robin 8_44 RCool01,Right,1,37,11
2016-10-07,AM,L15_700_Robin,7_10_2016 level15_700_Robin 8_44 RCool01,Right,7,37,9.8
2016-10-07,AM,L15_700_Robin,7_10_2016 level15_700_Robin 8_44 RCool01,Right,30,37,9.9
2016-10-07,AM,L15_700_Robin,7_10_2016 level15_700_Robin 8_44 RCool01,Right,48,37,10
