Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
31	0	1345.213	0	3	-60	700	1121	0.0	2	1348.957	0	736606.591148	0	
32	1	1369.661	0	3	-60	700	1121	0.0	3	1375.635	1	736606.591456	0	
33	0	1400.392	0	3	-60	700	1001	4.5	6	1402.262	0	736606.591765	0	
34	1	1407.454	0	3	-60	700	1001	4.5	4	1409.077	0	736606.591844	0	
35	1	1420.459	0	3	-60	700	1001	4.5	4	1421.692	0	736606.591990	0	
36	1	1428.731	0	3	-60	700	1001	4.5	2	1430.354	0	736606.592089	0	
37	1	1437.020	1	3	-60	700	1001	4.5	2	1442.846	0	736606.592234	0	
38	1	1476.543	0	3	-60	700	1001	4.5	2	1482.160	0	736606.592689	0	
39	1	1487.761	1	3	-60	700	1001	4.5	2	1494.697	0	736606.592835	0	
40	1	1499.857	0	3	-60	700	1001	4.5	-1	-1.000	0	736606.593068	0	
41	0	1624.650	0	7	60	700	1181	0.0	-1	-1.000	0	736606.594512	0	
42	0	1645.258	0	4	-30	700	1101	9.0	2	1649.206	0	736606.594623	0	
43	1	1663.147	0	4	-30	700	1101	9.0	2	1666.067	0	736606.594817	0	
44	0	1686.689	0	7	60	700	1041	0.0	7	1689.664	1	736606.595092	0	
45	0	1705.275	0	2	-90	700	1201	9.0	2	1706.928	1	736606.595291	0	
46	0	1724.427	0	2	-90	700	1021	0.0	3	1725.964	0	736606.595511	0	
47	1	1731.713	1	2	-90	700	1021	0.0	4	1736.119	0	736606.595629	0	
48	0	1740.963	0	6	30	700	1161	9.0	7	1742.651	0	736606.595704	0	
49	1	1755.684	0	6	30	700	1161	9.0	-1	-1.000	0	736606.596029	0	
50	0	1814.609	1	8	90	700	1081	0.0	3	1818.720	0	736606.596585	0	
51	1	1949.059	1	8	90	700	1081	0.0	3	1963.575	0	736606.598262	0	
52	1	1979.705	0	8	90	700	1081	0.0	8	1981.321	1	736606.598467	0	
53	0	1995.622	1	7	60	700	1001	4.5	6	2001.389	0	736606.598700	0	
54	1	2006.637	0	7	60	700	1001	4.5	2	2012.055	0	736606.598822	0	
55	0	2060.281	0	2	-90	700	1121	9.0	2	2062.846	1	736606.599410	0	
56	0	2078.543	0	6	30	700	1041	4.5	-1	-1.000	0	736606.599765	0	
